driver,team,race_id,year,finish,momentum,adj_finish,adj_start,adj_mid,adj_best,adj_worst,adj_avg,adj_green_flag_passing_diff,adj_green_flag_passes,adj_pct_quality_passes,adj_fastest_lap,adj_pct_top_15_laps,adj_pct_laps_led,adj_rating
Todd Gilliland,Front Row Motorsports,124,2025,28,47.385000000000005,25.672831513375517,28.41604357651936,16.429794145057862,5.857604303856411,34.717898906400436,24.31458705457655,-5.3474300844588125,89.01571364398387,17.035459634583543,0.8438538360899983,22.70385399847646,0.1326755948690123,46.795240229974496
Todd Gilliland,Front Row Motorsports,125,2025,27,43.2675,21.166815261271612,14.011314458501023,15.77753955070467,2.6317783944712176,34.04154278908653,16.673879507015542,-2.0664447133075514,401.74297598012754,47.074491334197376,3.6830410406826792,49.03263660453621,1.9713772915119905,74.27917692173943
Todd Gilliland,Front Row Motorsports,126,2025,38,49.015,17.98926137247859,20.23621461604833,21.509212196611394,6.694305108753881,33.22484581725047,20.267102788544154,6.092879878740774,88.97038931177782,21.877161939817434,0.5453422379128122,31.59508014744306,0.5308126872615266,62.669790340809136
Todd Gilliland,Front Row Motorsports,127,2025,22,46.3475,20.67038794159393,20.208051505053,23.69834266508824,7.9229915398564845,31.475256033788558,22.547734892261747,5.387738444953483,77.89811094384103,19.005754221331735,0.4902103126015147,27.389950352281307,0.4597190735872905,58.10201301305988
Todd Gilliland,Front Row Motorsports,128,2025,25,46.5125,20.004490611663616,26.70616406929329,23.843842612119502,7.56768973491715,32.68343990450687,22.863218268914075,-1.5633222359623242,91.04700770786476,16.708086975713844,1.4438248593093783,21.49350439755559,0.6328722279676421,55.1037990379384
Todd Gilliland,Front Row Motorsports,129,2025,6,45.977500000000006,26.21504144419158,29.0206497768773,19.863255455737182,5.809951118308506,34.96942840734109,24.981916274205258,2.0652143075217255,92.41218978765329,15.797561771316994,0.7347261507913906,20.294412562750342,0.09661921097681812,45.07429466660036
Todd Gilliland,Front Row Motorsports,130,2025,34,47.287499999999994,20.79414514396682,20.20397400005379,20.744106343544846,8.730573983877456,31.43694816696634,21.020173029464125,-4.989504299537366,81.37852163917161,20.78735051235946,5.682877642526177,25.42558931684888,0.017701740438733408,61.870457651617514
Todd Gilliland,Front Row Motorsports,131,2025,28,48.6225,20.86199466991255,21.976892988270862,24.593582638217978,8.095879762631501,31.930818933654532,23.009294238095436,7.178652221530114,82.86769315382463,17.600110212951662,0.4097587275857581,24.920236042175254,0.4033458052269479,57.218885162578594
Todd Gilliland,Front Row Motorsports,132,2025,25,47.207499999999996,22.403868794658468,21.901643663285498,22.09778769892852,9.737668159086219,31.773810599426092,22.19732717005559,-5.173373872849685,78.46077824526581,18.24079883519788,4.95141462038504,22.3097079263488,0.017339843364696884,58.416465812584256
Todd Gilliland,Front Row Motorsports,133,2025,11,49.042500000000004,21.89944536799704,14.45832237126674,17.153893202627305,3.0091973449419616,34.51860929554361,17.445726219354434,-1.7883390442843443,367.1365117918842,49.45220611387881,4.021211544724533,46.27093645863371,1.731439650970069,73.17096116816126
Todd Gilliland,Front Row Motorsports,134,2025,26,49.24,20.48301607033105,26.478656493500488,24.230341607437634,8.315284157166143,33.0449878701878,23.728859618960186,-1.4461451018354392,86.81391114311809,15.01288075153123,1.6782205023808412,19.314111627930394,0.5662937640411521,53.24590998819809
Todd Gilliland,Front Row Motorsports,135,2025,32,52.26500000000001,21.02612726117182,26.63972390610303,24.60614222312465,7.79287235987412,33.24601812833314,24.074063708855714,0.02618174349984767,93.0900563042749,14.680497744281757,2.00509382547904,17.77766091325932,0.5098606067424231,52.50088715819094
Todd Gilliland,Front Row Motorsports,136,2025,24,49.015,22.70521023558833,22.97548821760724,21.368829121000598,8.982184503047748,32.497302985981584,22.47995263909511,-1.9439430326844036,93.59991609151437,17.76980902777165,4.843620858643739,20.41017803316752,0.012915630442066067,56.68033811591849
Todd Gilliland,Front Row Motorsports,137,2025,19,49.095000000000006,22.025903675140384,26.95079139336396,25.2796684463352,8.171442162973394,33.4111591176902,24.44955228622173,-2.1924226077483784,91.60676636288733,13.9519119170785,1.8268729401519617,16.26864432172295,0.46302519042056656,50.75415006513215
Todd Gilliland,Front Row Motorsports,138,2025,12,43.697500000000005,22.488853364861043,30.099453404517668,21.963204556252077,4.737025126794599,34.89701211451448,24.728916516792637,-4.428344742953672,117.92432073151897,10.41231622096743,1.771795198679596,10.230983471727914,0.2582289827695091,49.10521808521179
Todd Gilliland,Front Row Motorsports,139,2025,17,44.254999999999995,21.626497729184894,22.707305404766362,23.657686905198382,8.946740299081329,32.669471516474495,23.2575276673739,6.259663804558631,82.51126747692962,15.483183051434532,0.37708696685921883,21.992216252654703,0.35096841222452574,55.82621565352177
Todd Gilliland,Front Row Motorsports,140,2025,21,49.8875,21.361940104727765,29.365463896770454,22.62416359901742,4.3596074935260525,35.01821089058271,25.0689756622096,-3.7298782132322614,116.14535047895697,10.711162118592467,1.5854849348662632,9.532532839765567,0.22959188568348365,48.992252394900135
Todd Gilliland,Front Row Motorsports,141,2025,2,49.9425,20.61815626186538,16.17683100090196,17.15139194006203,3.196915672864842,35.06003111856896,17.65718759259668,2.9736831744346746,360.63843228596454,46.985760538255214,4.22915946746048,44.82030933337793,1.5236103953391686,72.97866215850308
