driver,team,race_id,year,finish,momentum,finish_baseline,finish_track,start_baseline,start_track,mid_baseline,mid_track,best_baseline,best_track,worst_baseline,worst_track,avg_baseline,avg_track,green_flag_passing_diff_baseline,green_flag_passing_diff_track,green_flag_passes_baseline,green_flag_passes_track,pct_quality_passes_baseline,pct_quality_passes_track,fastest_lap_baseline,fastest_lap_track,pct_top_15_laps_baseline,pct_top_15_laps_track,pct_laps_led_baseline,pct_laps_led_track,rating_baseline,rating_track
Todd Gilliland,Front Row Motorsports,85,2024,17,73.70750000000001,22.125,24.8,25.2875,30.133333333333333,21.725,24.533333333333335,7.9625,8.0,33.1875,34.666666666666664,22.817,25.701333333333327,-5.675,-14.066666666666666,116.8875,88.86666666666666,17.5768013722653,6.35127760537746,1.975,0.8,19.978873218246356,7.756047092800827,0.7680050939388663,0.1919862756981511,55.01512499999999,44.089999999999996
Todd Gilliland,Front Row Motorsports,86,2024,16,60.1025,22.061728395061728,23.11111111111111,25.40740740740741,27.333333333333332,21.80246913580247,25.88888888888889,7.901234567901234,12.333333333333334,33.22222222222222,32.94444444444444,22.853950617283953,25.761111111111106,-5.493827160493828,-6.611111111111111,117.38271604938272,61.666666666666664,17.39125778372668,7.439909024010374,1.9753086419753085,0.8888888888888888,19.76196908659167,9.908461129198091,0.7585235495692507,0.2492877492877493,55.01913580246913,46.599444444444444
Todd Gilliland,Front Row Motorsports,87,2024,10,66.935,21.98780487804878,21.90909090909091,25.524390243902438,25.454545454545453,21.890243902439025,23.09090909090909,7.817073170731708,8.636363636363637,33.25609756097561,34.54545454545455,22.83768292682927,23.594545454545457,-5.7560975609756095,1.5454545454545454,117.21951219512195,72.0,17.35506045615778,12.457221697924137,1.951219512195122,0.7272727272727273,19.734384097730796,21.67401021725733,0.7797610672574306,2.0462096043491393,55.037195121951214,57.98
Todd Gilliland,Front Row Motorsports,88,2024,12,71.3375,21.843373493975903,19.333333333333332,25.3855421686747,18.0,21.72289156626506,17.733333333333334,7.759036144578313,5.133333333333334,33.19277108433735,29.8,22.697228915662652,18.935333333333336,-5.518072289156627,-4.866666666666666,116.46987951807229,82.46666666666667,17.803137493378223,25.52562029250778,1.927710843373494,3.933333333333333,20.5480990757428,27.364944845965905,0.7703663556037266,0.0,55.44240963855421,63.65599999999999
Todd Gilliland,Front Row Motorsports,89,2024,12,67.585,21.726190476190474,22.736842105263158,25.25,27.736842105263158,21.571428571428573,26.05263157894737,7.690476190476191,11.736842105263158,33.20238095238095,33.10526315789474,22.63714285714286,25.5378947368421,-5.5,-7.684210526315789,116.51190476190476,63.89473684210526,18.057465221631656,7.807444176592825,1.9047619047619047,0.8421052631578947,20.953138712596203,10.308015806608717,0.7611953275608251,0.3677462887989204,55.61369047619047,47.12052631578947
Todd Gilliland,Front Row Motorsports,90,2024,17,75.47749999999999,21.611764705882354,22.2,25.141176470588235,27.15,21.4,25.1,7.6117647058823525,11.2,33.0,32.25,22.478,24.716499999999996,-5.435294117647059,-7.3,115.94117647058823,64.1,18.831183623868515,11.608248438351419,1.9058823529411764,0.9,21.88310178656566,14.792615016278281,0.8255284201391837,0.6608343841950399,55.98188235294116,49.11
Todd Gilliland,Front Row Motorsports,91,2024,7,73.77,21.558139534883722,20.916666666666668,25.22093023255814,24.5,21.36046511627907,21.833333333333332,7.569767441860465,8.166666666666666,33.02325581395349,34.0,22.48546511627907,22.560000000000002,-5.383720930232558,2.5833333333333335,116.1046511627907,70.58333333333333,18.73743998602389,15.964574435218339,1.8837209302325582,0.6666666666666666,21.755113776611566,27.140569971879824,0.8159292524631466,1.8756921373200444,55.90848837209301,60.537499999999994
Todd Gilliland,Front Row Motorsports,92,2024,34,76.9775,21.39080459770115,22.5,25.229885057471265,30.833333333333332,21.183908045977013,21.5,7.517241379310345,10.333333333333334,32.94252873563219,35.0,22.333563218390804,25.253333333333334,-5.206896551724138,-5.5,115.1264367816092,81.16666666666667,19.337788284293545,10.050143794891694,1.8620689655172413,0.0,22.45630351124425,9.99820219966159,0.8065507553083978,0.0,56.432528735632175,43.44333333333333
Todd Gilliland,Front Row Motorsports,93,2024,6,67.8125,21.53409090909091,24.142857142857142,25.318181818181817,31.142857142857142,21.227272727272727,22.0,7.5227272727272725,10.0,32.95454545454545,34.857142857142854,22.41136363636364,25.814285714285717,-5.3977272727272725,-7.857142857142857,114.5,78.14285714285714,19.136980084093242,8.85250420514526,1.8409090909090908,0.0,22.250525358695526,9.191005612132296,0.7973854058162569,0.0,56.16818181818181,41.97571428571428
Todd Gilliland,Front Row Motorsports,94,2024,17,65.685,21.359550561797754,18.875,25.303370786516854,17.75,21.03370786516854,17.1875,7.449438202247191,4.9375,32.95505617977528,30.0625,22.344719101123598,18.855,-5.741573033707865,-4.8125,114.0,84.8125,19.32324194510664,26.378185690892714,1.8651685393258426,3.6875,22.61950620139874,29.065350078807324,0.7951541360341594,0.0,56.41797752808988,64.041875
