driver,team,race_id,year,finish,finish_ytd,start_ytd,mid_ytd,best_ytd,worst_ytd,avg_ytd,green_flag_passing_diff_ytd,green_flag_passes_ytd,pct_quality_passes_ytd,fastest_lap_ytd,pct_top_15_laps_ytd,pct_laps_led_ytd,rating_ytd,prev_year_rating
Michael McDowell,Front Row Motorsports,82,2024,36,24.0,13.8,23.8,3.9,32.9,21.049,-11.6,144.2,40.89984559440245,5.4,39.950072847272715,3.4543170532925984,68.12,68.03555555555556
Michael McDowell,Front Row Motorsports,83,2024,10,25.09090909090909,13.272727272727273,23.454545454545453,4.0,33.09090909090909,21.687272727272727,-11.0,135.72727272727272,38.96420900738904,5.2727272727272725,38.07263400788747,3.1402882302659987,65.96636363636364,68.03555555555556
Michael McDowell,Front Row Motorsports,84,2024,10,23.833333333333332,12.833333333333334,22.666666666666668,4.083333333333333,32.833333333333336,20.979166666666668,-11.75,131.0,39.092719016266955,4.833333333333333,41.95837221867297,2.8785975444104985,67.6775,68.03555555555556
Michael McDowell,Front Row Motorsports,85,2024,16,22.76923076923077,13.076923076923077,22.0,4.0,32.76923076923077,20.60923076923077,-10.307692307692308,128.84615384615384,38.550112549743055,4.461538461538462,42.19628162794806,2.6571669640712297,68.33076923076922,68.03555555555556
Michael McDowell,Front Row Motorsports,86,2024,25,22.285714285714285,12.785714285714286,21.357142857142858,3.7857142857142856,32.285714285714285,20.024285714285718,-10.5,126.78571428571429,40.79653308190427,4.714285714285714,45.2637302437372,2.6394863633673467,69.28714285714285,68.03555555555556
Michael McDowell,Front Row Motorsports,87,2024,2,22.466666666666665,12.0,21.8,3.6,32.266666666666666,19.731333333333335,-10.466666666666667,125.26666666666667,40.640866773879885,5.066666666666666,45.67711057058429,3.5792807173855348,69.06333333333333,68.03555555555556
Michael McDowell,Front Row Motorsports,88,2024,23,21.1875,12.0,21.4375,3.5,32.3125,19.233125,-7.8125,121.875,41.005742177977176,4.875,47.48138206901368,3.3555756725489387,71.22312500000001,68.03555555555556
Michael McDowell,Front Row Motorsports,89,2024,15,21.294117647058822,12.588235294117647,21.88235294117647,3.764705882352941,32.529411764705884,19.388823529411766,-8.764705882352942,120.82352941176471,39.83798358832241,5.411764705882353,46.32328290466415,3.158188868281354,71.02352941176471,68.03555555555556
Michael McDowell,Front Row Motorsports,90,2024,35,20.944444444444443,13.277777777777779,21.555555555555557,3.6666666666666665,32.27777777777778,19.19,-6.888888888888889,120.83333333333333,39.41539588667548,5.111111111111111,46.24521345367643,2.982733931154612,70.77222222222223,68.03555555555556
Michael McDowell,Front Row Motorsports,91,2024,5,21.68421052631579,13.31578947368421,21.210526315789473,3.526315789473684,32.473684210526315,19.42736842105263,-7.7368421052631575,119.05263157894737,39.2767755347452,4.894736842105263,45.92532664137767,3.508416950413376,69.93578947368422,68.03555555555556
Michael McDowell,Front Row Motorsports,92,2024,24,20.85,12.8,21.55,3.5,32.7,19.753999999999998,-8.0,115.1,38.812936758007936,4.65,44.31871548172258,3.3329961028927073,69.364,68.03555555555556
Michael McDowell,Front Row Motorsports,93,2024,16,21.0,13.19047619047619,21.61904761904762,3.619047619047619,32.42857142857143,19.726666666666667,-7.571428571428571,112.0,37.82184453143613,4.428571428571429,43.202875503991365,3.174282002754959,68.78333333333335,68.03555555555556
Michael McDowell,Front Row Motorsports,94,2024,15,20.772727272727273,12.954545454545455,21.954545454545453,3.5,32.40909090909091,19.533636363636365,-8.136363636363637,108.86363636363636,37.58258521341102,4.454545454545454,43.28048023747896,3.057214747866533,69.36863636363638,68.03555555555556
Michael McDowell,Front Row Motorsports,95,2024,19,20.52173913043478,13.608695652173912,21.347826086956523,3.4347826086956523,32.43478260869565,19.28304347826087,-7.217391304347826,110.30434782608695,38.061235825687696,4.260869565217392,44.68090266534646,2.9242923675245094,69.76565217391305,68.03555555555556
Michael McDowell,Front Row Motorsports,96,2024,30,20.458333333333332,13.75,21.833333333333332,3.4166666666666665,32.583333333333336,19.513749999999998,-7.791666666666667,109.66666666666667,37.264824683827904,4.083333333333333,43.52712719021269,2.802446852210989,68.56,68.03555555555556
Michael McDowell,Front Row Motorsports,97,2024,28,20.84,13.24,21.28,3.32,32.0,19.0856,-7.64,118.16,39.28975964678534,3.96,45.68008183770352,3.379090699976854,69.6264,68.03555555555556
Michael McDowell,Front Row Motorsports,98,2024,22,21.115384615384617,13.923076923076923,21.692307692307693,3.8461538461538463,32.07692307692308,19.38230769230769,-7.576923076923077,117.88461538461539,37.778615044985905,4.846153846153846,43.92315561317646,3.249125673054667,68.57000000000001,68.03555555555556
Michael McDowell,Front Row Motorsports,99,2024,7,21.14814814814815,13.444444444444445,21.814814814814813,3.740740740740741,32.148148148148145,19.168888888888887,-8.333333333333334,123.74074074074075,38.25809736484419,4.851851851851852,44.45454528275249,3.546498629190487,68.76185185185186,68.03555555555556
Michael McDowell,Front Row Motorsports,100,2024,11,20.642857142857142,13.321428571428571,21.142857142857142,3.642857142857143,32.17857142857143,18.713571428571424,-8.607142857142858,121.42857142857143,38.52611931125714,4.714285714285714,46.244212143772195,3.691577094297038,70.37357142857144,68.03555555555556
Michael McDowell,Front Row Motorsports,101,2024,29,20.310344827586206,13.482758620689655,21.0,3.8275862068965516,31.689655172413794,18.548275862068962,-8.310344827586206,118.89655172413794,40.07119565684597,4.655172413793103,47.09585599286747,3.5642813324247262,70.58275862068966,68.03555555555556
Michael McDowell,Front Row Motorsports,102,2024,37,20.6,13.733333333333333,21.166666666666668,4.066666666666666,31.8,18.824666666666662,-8.433333333333334,118.1,38.77057685424935,4.5,45.55096291545228,3.4454719546772354,69.59100000000002,68.03555555555556
Michael McDowell,Front Row Motorsports,103,2024,15,21.129032258064516,13.32258064516129,21.322580645161292,3.967741935483871,31.93548387096774,18.820967741935483,-9.225806451612904,127.38709677419355,38.91829223619554,4.612903225806452,45.49176562768077,4.074676719756393,69.76064516129034,68.03555555555556
Michael McDowell,Front Row Motorsports,104,2024,20,20.9375,13.5625,20.84375,4.0,32.0625,18.675,-9.59375,125.96875,38.6167297501559,4.5,46.04835896099007,3.9473430722640064,70.0346875,68.03555555555556
Michael McDowell,Front Row Motorsports,105,2024,14,20.90909090909091,13.606060606060606,20.272727272727273,3.9393939393939394,32.21212121212121,18.649393939393942,-9.575757575757576,125.39393939393939,37.98461701062979,4.393939393939394,45.52686175947102,3.8277266155287335,69.60151515151514,68.03555555555556
Michael McDowell,Front Row Motorsports,106,2024,33,20.705882352941178,13.911764705882353,20.41176470588235,3.911764705882353,32.294117647058826,18.67323529411765,-8.941176470588236,127.11764705882354,37.37893134407674,4.382352941176471,44.98096265286398,3.7151464209543588,69.67088235294118,68.03555555555556
Michael McDowell,Front Row Motorsports,107,2024,31,21.057142857142857,14.0,20.37142857142857,3.857142857142857,32.34285714285714,18.77028571428572,-9.114285714285714,125.51428571428572,36.7536178127168,4.314285714285714,43.934859346753576,3.608999380355663,69.09685714285713,68.03555555555556
Ricky Stenhouse Jr.,JTG Daugherty Racing,10,2022,2,26.9,23.8,20.8,7.2,32.0,20.716,13.3,125.7,35.066896933225394,3.0,40.36395378845823,2.070727669459854,65.66900000000001,
Ricky Stenhouse Jr.,JTG Daugherty Racing,11,2022,8,24.636363636363637,23.0,20.363636363636363,6.7272727272727275,30.818181818181817,19.63909090909091,14.0,119.63636363636364,39.89132386841754,3.4545454545454546,45.23995798950748,1.8824796995089583,69.04181818181819,
Ricky Stenhouse Jr.,JTG Daugherty Racing,12,2022,8,23.25,23.25,20.0,6.416666666666667,30.75,19.42916666666667,13.833333333333334,117.5,38.78335893612033,3.5,44.79760654157639,1.7256063912165451,69.54916666666666,
