driver_name,driver_id,race_date,series,track_name,start,mid,finish,best,worst,avg,green_flag_passing_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,laps,rating,status,stage_1,stage_2,stage_3,team_name,manufacturer,track_type
Denny Hamlin,1361,3/5/2023,Cup,Las Vegas Motor Speedway,12,10,11,1,30,6.15,-6,145,151,91,62.758620689655174,11,263,97.04797048,10,3.690036900369004,271,105.22,running,5,8,,Joe Gibbs Racing,Toyota,intermediate
Erik Jones,4059,3/5/2023,Cup,Las Vegas Motor Speedway,22,12,19,5,24,14.71,10,123,113,45,36.58536585365854,1,152,56.2962963,0,0,270,67.57,accident,12,17,,Legacy Motor Club,Chevrolet,intermediate
Harrison Burton,4217,3/5/2023,Cup,Las Vegas Motor Speedway,35,30,26,19,36,28.78,8,83,75,0,0,2,0,0,0,0,269,39.31,running,28,30,,Wood Brothers Racing,Ford,intermediate
JJ Yeley,3669,3/5/2023,Cup,Las Vegas Motor Speedway,29,35,33,2,35,32.98,-4,56,60,8,14.285714285714286,0,3,1.1320754716981132,0,0,265,28.5,running,33,34,,Rick Ware Racing,Ford,intermediate
Joey Logano,3859,3/5/2023,Cup,Las Vegas Motor Speedway,1,14,36,1,26,19.49,-17,69,86,39,56.52173913043478,1,175,95.62841530054645,9,4.918032786885246,183,66.1,dvp,13,14,,Team Penske,Ford,intermediate
Josh Berry,4123,3/5/2023,Cup,Las Vegas Motor Speedway,32,26,29,3,33,27.32,2,93,91,6,6.451612903225806,0,3,1.1152416356877324,0,0,269,41.67,running,24,26,,Hendrick Motorsports,Chevrolet,intermediate
Justin Haley,4172,3/5/2023,Cup,Las Vegas Motor Speedway,27,19,8,4,29,19.02,18,172,154,26,15.116279069767442,6,20,7.380073800738008,0,0,271,72.09,running,18,18,,Kaulig Racing,Chevrolet,intermediate
Kevin Harvick,1416,3/5/2023,Cup,Las Vegas Motor Speedway,14,11,9,6,28,10.93,2,120,118,76,63.333333333333336,1,260,95.94095941,0,0,271,87.91,running,14,10,,Stewart-Haas Racing,Ford,intermediate
Kyle Busch,454,3/5/2023,Cup,Las Vegas Motor Speedway,5,9,14,4,21,10.78,-7,123,130,76,61.78861788617886,2,250,92.25092250922509,0,0,271,86.64,running,9,13,,Richard Childress Racing,Chevrolet,intermediate
Kyle Larson,4030,3/5/2023,Cup,Las Vegas Motor Speedway,6,2,2,1,17,2.23,6,62,56,45,72.58064516129032,40,269,99.26199262,63,23.247232472324722,271,126.32,running,2,2,,Hendrick Motorsports,Chevrolet,intermediate
Martin Truex Jr.,3368,3/5/2023,Cup,Las Vegas Motor Speedway,15,7,7,1,35,6.71,6,152,146,84,55.26315789473684,6,262,96.67896679,3,1.1070110701107012,271,105.6,running,6,4,,Joe Gibbs Racing,Toyota,intermediate
Michael McDowell,3832,3/5/2023,Cup,Las Vegas Motor Speedway,17,24,25,8,34,24.35,-13,99,112,11,11.11111111111111,11,9,3.3333333333333335,0,0,270,53.63,running,29,25,,Front Row Motorsports,Ford,intermediate
Noah Gragson,4224,3/5/2023,Cup,Las Vegas Motor Speedway,25,29,30,21,36,30.23,-10,70,80,0,0,6,0,0,0,0,269,37.27,running,34,31,,Legacy Motor Club,Chevrolet,intermediate
Ricky Stenhouse Jr.,3888,3/5/2023,Cup,Las Vegas Motor Speedway,16,28,24,11,32,25.08,-5,98,103,3,3.061224489795918,2,4,1.4814814814814814,0,0,270,51.48,running,26,28,,JTG Daugherty Racing,Chevrolet,intermediate
Ross Chastain,4001,3/5/2023,Cup,Las Vegas Motor Speedway,8,5,12,3,15,5.37,-7,80,87,53,66.25,6,270,99.63099631,0,0,271,103.1,running,3,7,,Trackhouse Racing,Chevrolet,intermediate
Ryan Blaney,4023,3/5/2023,Cup,Las Vegas Motor Speedway,3,18,13,2,36,12.68,-8,131,139,61,46.56488549618321,7,193,71.21771217712177,0,0,271,80.67,running,21,15,,Team Penske,Ford,intermediate
Ryan Preece,4070,3/5/2023,Cup,Las Vegas Motor Speedway,31,22,23,4,35,23.34,9,93,84,7,7.526881720430108,0,6,2.2222222222222223,0,0,270,47,running,23,21,,Stewart-Haas Racing,Ford,intermediate
Todd Gilliland,4231,3/5/2023,Cup,Las Vegas Motor Speedway,28,32,31,26,36,30.97,-2,49,51,0,0,2,0,0,0,0,268,33.65,running,31,32,,Front Row Motorsports,Ford,intermediate
Ty Dillon,4013,3/5/2023,Cup,Las Vegas Motor Speedway,33,34,34,14,36,33.01,-3,57,60,2,3.508771929824561,1,0,0,0,0,265,29.57,running,32,35,,Spire Motorsports,Chevrolet,intermediate
Ty Gibbs,4368,3/5/2023,Cup,Las Vegas Motor Speedway,4,25,22,4,33,23.97,-21,101,122,6,5.9405940594059405,5,12,4.444444444444445,0,0,270,57.53,running,30,24,,Joe Gibbs Racing,Toyota,intermediate
Tyler Reddick,4065,3/5/2023,Cup,Las Vegas Motor Speedway,34,15,15,1,34,13.36,34,149,115,75,50.33557046979866,6,226,83.39483394833948,3,1.1070110701107012,271,81.14,running,11,12,,23XI Racing,Toyota,intermediate
William Byron,4184,3/5/2023,Cup,Las Vegas Motor Speedway,2,1,1,1,11,1.68,4,50,46,38,76,59,271,100,176,64.94464944649447,271,148.23,running,1,1,,Hendrick Motorsports,Chevrolet,intermediate
AJ Allmendinger,3774,3/12/2023,Cup,Phoenix Raceway,22,23,20,12,26,21.58,-3,73,76,3,4.109589041095891,0,2,0.6309148264984227,0,0,317,56,running,22,23,,Kaulig Racing,Chevrolet,short intermediate
