driver,race_id,finish,momentum,adj_finish,adj_start,adj_mid,adj_best,adj_worst,adj_avg,adj_green_flag_passing_diff,adj_green_flag_passes,adj_green_flag_times_passed,adj_quality_passes,adj_pct_quality_passes,adj_fastest_lap,adj_top_15_laps,adj_pct_top_15_laps,adj_laps_led,adj_pct_laps_led,adj_rating
William Byron,78,7,89.73500000000001,18.894691921771404,14.830374414019227,18.801020596504593,6.417473402231807,27.766162613591685,18.379028928580126,-3.3779379712046316,68.42555808011386,71.8034960513185,26.49786329612097,45.45841401772566,11.531911270016716,190.497266201993,44.77232184620355,11.567168417342755,2.804526881761117,71.1712141626652
William Byron,79,1,91.845,17.836859980353026,15.005963925482734,17.848229592335084,6.26741781701387,27.66853426843739,17.721650907287255,-2.071401905725335,72.51773084477604,74.58913275050139,28.82488941946811,44.97749171084149,10.712689905588341,201.39961807383645,47.71181250169284,10.538999530316676,2.5502650415285473,72.91555515998358
William Byron,80,3,99.22999999999999,13.395760409748005,12.925740988352327,15.61657460934852,3.172141343125365,28.726834056633162,14.780921657607081,2.556146838319567,97.23857579849137,94.68242896017179,43.43476596547817,47.56792651392868,9.010299024568505,160.87836812261972,58.46656809333085,15.163276560596184,5.276588632948542,85.27662529347201
William Byron,81,7,117.6975,15.85107262152606,17.86591205921939,19.94043851377213,2.357174597035073,32.561742360285024,18.00034815890121,7.713504686408479,297.23509754503857,289.52159285863013,144.61926252952844,48.11555284763048,4.142940124856475,95.4006434728616,48.74460095979322,6.198709319482889,3.126822550332121,76.42157171984634
William Byron,82,33,101.12,14.457332458564071,13.284707735955328,12.657090024089747,4.398408396244426,26.58204633279996,13.27074476472715,-1.021363097240102,68.77972770674103,69.80109080398114,26.805188275180086,42.609894657091814,13.725908752297487,196.52882503648988,62.69194177493113,21.39921017235341,6.543249008049335,86.55230382051579
William Byron,83,23,98.4,12.939123355022609,12.813553080652078,15.223812215160129,3.2129876230724057,28.980002705730058,14.610823284023104,1.5075638088886842,96.18358732999553,94.67602352110686,43.05842895514239,47.40417433644908,8.32893310493407,163.69375529324512,59.55353433923602,13.215315327259768,4.615294347806106,86.42350951915867
William Byron,84,6,86.1975,16.756161652460406,12.917132584588657,13.879358509815141,4.416691480398893,26.939249208388667,13.907100122438468,-2.3486088689736073,67.4057351918434,69.75434406081702,24.5809370147834,38.92420118428137,13.090184857247474,187.8349259264921,59.73856444415223,21.364525700467563,6.5419060241009745,84.10026557684171
William Byron,85,3,84.37,14.210941756957714,15.200831034474787,15.216772362918293,3.6522189696023255,29.74928409739418,15.06364850569377,3.5548876654873447,98.95124900148886,95.39636133600153,41.161134876738416,44.396377403123616,7.723182861104291,157.57331747676685,57.50045434364465,11.716827861810948,4.105394458617274,83.81466915847047
William Byron,86,15,95.0375,15.977377232725647,12.694555147676406,13.495391647876358,4.359622311396901,26.348475370041346,13.571572075722692,-2.473064015336672,66.17770098312732,68.650764998464,24.95581135094453,40.586998284028496,12.425842032848152,192.09780225163667,61.757048189144925,18.651467571675205,5.727952961582206,84.80952539097281
William Byron,87,30,92.4575,14.286069179025482,16.83978763613461,14.696305363621882,5.527245674770131,27.891214123344348,15.287260075806724,0.0699505306924979,61.341136537110586,61.2711860064181,13.885515373175625,28.845940263767886,3.80054830010086,47.69262386803479,54.967140012730844,9.77051823062259,12.589252077176706,86.78499645591774
William Byron,88,2,84.03999999999999,16.54635691180876,15.459317555706294,17.116818082162812,5.9552635917803585,27.798295095458904,16.87410615854788,-0.4212084835333492,73.36641374687002,73.78762223040339,29.412516706731658,44.64247927782088,11.723215332451227,215.77475805309933,51.27245357958719,16.799501176437523,4.055033825512184,76.35887687952305
